Unnamed: 0,疾病病种,发病数,死亡数,date,year,month,url
16,流行性出血热,64.0,0.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
17,狂犬病,1.0,1.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
18,流行性乙型脑炎,0.0,0.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
19,登革热,0.0,0.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
20,炭疽,0.0,0.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
21,细菌性和阿米巴性痢疾,162.0,0.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
22,肺结核,2689.0,4.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
23,伤寒与副伤寒,28.0,0.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
24,流行性脑脊髓膜炎,1.0,0.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
25,百日咳,3.0,0.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
26,白喉,0.0,0.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
27,新生儿破伤风,4.0,0.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
28,猩红热,150.0,0.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
29,布鲁氏菌病,10.0,0.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
30,淋病,1217.0,0.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
31,梅毒,2454.0,0.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
32,钩端螺旋体病,0.0,0.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
33,血吸虫病,0.0,0.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
34,疟疾,17.0,0.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
35,丙类传染病合计,13760.0,0.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
36,流行性感冒,187.0,0.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
37,流行性腮腺炎,1176.0,0.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
38,风疹,49.0,0.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
39,急性出血性结膜炎,122.0,0.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
40,麻风病,1.0,0.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
41,斑疹伤寒,1.0,0.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
42,黑热病,0.0,0.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
43,包虫病,1.0,0.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
44,丝虫病,0.0,0.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
45,其它感染性腹泻病,6974.0,0.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
46,手足口病,5249.0,0.0,2013-1,2013,1,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468816.html
47,甲乙丙类总计,29857.0,12.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
48,甲乙类传染病合计,10010.0,12.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
49,鼠疫,0.0,0.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
50,霍乱,0.0,0.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
51,传染性非典型肺炎,0.0,0.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
52,艾滋病,128.0,5.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
53,病毒性肝炎,1865.0,0.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
54,甲型肝炎,38.0,0.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
55,乙型肝炎,1399.0,0.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
56,丙型肝炎,175.0,0.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
57,戊型肝炎,118.0,0.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
58,肝炎未分型,135.0,0.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
59,脊髓灰质炎,0.0,0.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
60,人感染高致病性禽流感,0.0,0.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
61,甲型H1N1流感,5.0,0.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
62,麻疹,6.0,0.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
63,流行性出血热,31.0,0.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
64,狂犬病,2.0,2.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
65,流行性乙型脑炎,0.0,0.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
66,登革热,5.0,0.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
67,炭疽,0.0,0.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
68,细菌性和阿米巴性痢疾,338.0,0.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
69,肺结核,3174.0,5.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
70,伤寒与副伤寒,39.0,0.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
71,流行性脑脊髓膜炎,0.0,0.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
72,百日咳,2.0,0.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
73,白喉,0.0,0.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
74,新生儿破伤风,4.0,0.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
75,猩红热,34.0,0.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
76,布鲁氏菌病,2.0,0.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
77,淋病,1396.0,0.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
78,梅毒,2960.0,0.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
79,钩端螺旋体病,3.0,0.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
80,血吸虫病,0.0,0.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
81,疟疾,14.0,0.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
82,人感染H7N9禽流感,2.0,0.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
83,丙类传染病合计,19847.0,0.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
84,流行性感冒,174.0,0.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
85,流行性腮腺炎,740.0,0.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
86,风疹,21.0,0.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
87,急性出血性结膜炎,78.0,0.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
88,麻风病,0.0,0.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
89,斑疹伤寒,1.0,0.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
90,黑热病,0.0,0.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
91,包虫病,0.0,0.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
92,丝虫病,0.0,0.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
93,其它感染性腹泻病,11061.0,0.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
94,手足口病,7772.0,0.0,2013-10,2013,10,http://wsjkw.zj.gov.cn/art/2013/11/15/art_1229123469_468825.html
95,甲乙丙类总计,35739.0,19.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
96,甲乙类传染病合计,9392.0,18.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
97,鼠疫,0.0,0.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
98,霍乱,0.0,0.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
99,传染性非典型肺炎,0.0,0.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
100,艾滋病,96.0,8.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
101,病毒性肝炎,1802.0,0.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
102,甲型肝炎,48.0,0.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
103,乙型肝炎,1301.0,0.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
104,丙型肝炎,191.0,0.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
105,戊型肝炎,128.0,0.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
106,肝炎未分型,134.0,0.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
107,脊髓灰质炎,0.0,0.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
108,人感染高致病性禽流感,0.0,0.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
109,甲型H1N1流感,9.0,0.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
110,麻疹,13.0,0.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
111,流行性出血热,59.0,0.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
112,狂犬病,1.0,0.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
113,流行性乙型脑炎,1.0,0.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
114,登革热,3.0,0.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
115,炭疽,0.0,0.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
116,细菌性和阿米巴性痢疾,188.0,0.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
117,肺结核,2950.0,7.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
118,伤寒与副伤寒,34.0,0.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
119,流行性脑脊髓膜炎,0.0,0.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
120,百日咳,2.0,0.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
121,白喉,0.0,0.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
122,新生儿破伤风,4.0,1.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
123,猩红热,115.0,0.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
124,布鲁氏菌病,4.0,0.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
125,淋病,1336.0,0.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
126,梅毒,2765.0,1.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
127,钩端螺旋体病,0.0,0.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
128,血吸虫病,1.0,0.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
129,疟疾,7.0,0.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
130,人感染H7N9禽流感,2.0,1.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
131,丙类传染病合计,26347.0,1.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
132,流行性感冒,307.0,0.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
133,流行性腮腺炎,701.0,0.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
134,风疹,30.0,0.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
135,急性出血性结膜炎,83.0,0.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
136,麻风病,0.0,0.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
137,斑疹伤寒,0.0,0.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
138,黑热病,0.0,0.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
139,包虫病,1.0,0.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
140,丝虫病,0.0,0.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
141,其它感染性腹泻病,17965.0,0.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
142,手足口病,7260.0,1.0,2013-11,2013,11,http://wsjkw.zj.gov.cn/art/2013/12/12/art_1229123469_468826.html
143,甲乙丙类总计,36763.0,35.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
144,甲乙类传染病合计,8981.0,34.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
145,鼠疫,0.0,0.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
146,霍乱,0.0,0.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
147,传染性非典型肺炎,0.0,0.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
148,艾滋病,144.0,18.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
149,病毒性肝炎,1713.0,0.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
150,甲型肝炎,22.0,0.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
151,乙型肝炎,1214.0,0.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
152,丙型肝炎,205.0,0.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
153,戊型肝炎,138.0,0.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
154,肝炎未分型,134.0,0.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
155,脊髓灰质炎,0.0,0.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
156,人感染高致病性禽流感,0.0,0.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
157,麻疹,12.0,0.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
158,流行性出血热,51.0,0.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
159,狂犬病,0.0,1.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
160,流行性乙型脑炎,0.0,0.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
161,登革热,0.0,0.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
162,炭疽,0.0,0.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
163,细菌性和阿米巴性痢疾,137.0,0.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
164,肺结核,2866.0,15.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
165,伤寒与副伤寒,31.0,0.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
166,流行性脑脊髓膜炎,1.0,0.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
167,百日咳,2.0,0.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
168,白喉,0.0,0.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
169,新生儿破伤风,3.0,0.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
170,猩红热,155.0,0.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
171,布鲁氏菌病,4.0,0.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
172,淋病,1396.0,0.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
173,梅毒,2453.0,0.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
174,钩端螺旋体病,0.0,0.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
175,血吸虫病,4.0,0.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
176,疟疾,8.0,0.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
177,人感染H7N9禽流感,1.0,0.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
178,丙类传染病合计,27782.0,1.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
179,流行性感冒,1389.0,0.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
180,流行性腮腺炎,615.0,0.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
181,风疹,41.0,0.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
182,急性出血性结膜炎,106.0,0.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
183,麻风病,0.0,0.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
184,斑疹伤寒,0.0,0.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
185,黑热病,0.0,0.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
186,包虫病,0.0,0.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
187,丝虫病,0.0,0.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
188,其它感染性腹泻病,17908.0,0.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
189,手足口病,7723.0,1.0,2013-12,2013,12,http://wsjkw.zj.gov.cn/art/2014/1/14/art_1229123469_468827.html
190,甲乙丙类总计,16878.0,11.0,2013-2,2013,2,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468817.html
191,甲乙类传染病合计,7073.0,11.0,2013-2,2013,2,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468817.html
192,鼠疫,0.0,0.0,2013-2,2013,2,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468817.html
193,霍乱,0.0,0.0,2013-2,2013,2,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468817.html
194,传染性非典型肺炎,0.0,0.0,2013-2,2013,2,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468817.html
195,艾滋病,58.0,9.0,2013-2,2013,2,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468817.html
196,病毒性肝炎,1600.0,0.0,2013-2,2013,2,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468817.html
197,甲型肝炎,28.0,0.0,2013-2,2013,2,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468817.html
198,乙型肝炎,1057.0,0.0,2013-2,2013,2,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468817.html
199,丙型肝炎,149.0,0.0,2013-2,2013,2,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468817.html
200,戊型肝炎,230.0,0.0,2013-2,2013,2,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468817.html
201,肝炎未分型,136.0,0.0,2013-2,2013,2,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468817.html
202,脊髓灰质炎,0.0,0.0,2013-2,2013,2,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468817.html
203,人感染高致病性禽流感,0.0,0.0,2013-2,2013,2,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468817.html
204,甲型H1N1流感,37.0,0.0,2013-2,2013,2,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468817.html
205,麻疹,51.0,0.0,2013-2,2013,2,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468817.html
206,流行性出血热,35.0,0.0,2013-2,2013,2,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468817.html
207,狂犬病,0.0,0.0,2013-2,2013,2,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468817.html
208,流行性乙型脑炎,0.0,0.0,2013-2,2013,2,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468817.html
209,登革热,0.0,0.0,2013-2,2013,2,http://wsjkw.zj.gov.cn/art/2013/7/23/art_1229123469_468817.html
