疾病病种,发病数,date,year,month,url
甲乙丙类总计,8943.0,2016-12,2016,12,/yqxx/20180815/0012-56908.html
甲乙类传染病合计,1946.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
鼠疫,0.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
霍乱,0.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
传染性非典型肺炎,0.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
艾滋病,28.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
病毒性肝炎,173.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
其中：（1）甲肝,19.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
（2）乙肝,41.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
（3）丙肝,4.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
（4）丁肝,0.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
（5）戊肝,63.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
（6）肝炎（未分型）,46.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
脊髓灰质炎,0.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
人感染高致病性禽流感,0.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
麻疹,5.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
流行性出血热,0.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
狂犬病,0.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
流行性乙型脑炎,0.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
登革热,0.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
炭疽,0.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
细菌性和阿米巴性痢疾,8.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
肺结核,427.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
伤寒和副伤寒,1.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
流行性脑脊髓膜炎,1.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
百日咳,0.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
白喉,0.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
新生儿破伤风,0.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
猩红热,127.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
布鲁氏菌病,0.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
淋病,428.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
梅毒,747.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
钩端螺旋体病,0.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
血吸虫病,0.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
疟疾,0.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
人感染H7N9禽流感,1.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
丙类传染病合计,1873.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
流行性感冒,579.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
流行性腮腺炎,84.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
风疹,5.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
急性出血性结膜炎,0.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
麻风病,0.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
斑疹伤寒,0.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
黑热病,0.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
包虫病,0.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
丝虫病,0.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
其它感染性腹泻病,566.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
手足口病,639.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
甲乙丙类总计,3819.0,2016-2,2016,2,/yqxx/20180815/0012-59753.html
甲乙类传染病合计,3187.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
鼠疫,0.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
霍乱,0.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
传染性非典型肺炎,0.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
艾滋病,45.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
病毒性肝炎,249.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
其中：（1）甲肝,40.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
（2）乙肝,69.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
（3）丙肝,10.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
（4）丁肝,0.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
（5）戊肝,86.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
（6）肝炎（未分型）,44.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
脊髓灰质炎,0.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
人感染高致病性禽流感,0.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
麻疹,24.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
流行性出血热,0.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
狂犬病,0.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
流行性乙型脑炎,0.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
登革热,0.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
炭疽,0.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
细菌性和阿米巴性痢疾,7.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
肺结核,638.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
伤寒和副伤寒,1.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
流行性脑脊髓膜炎,0.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
百日咳,0.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
白喉,0.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
新生儿破伤风,0.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
猩红热,235.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
布鲁氏菌病,1.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
淋病,650.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
梅毒,1336.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
钩端螺旋体病,0.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
血吸虫病,0.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
疟疾,1.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
人感染H7N9禽流感,0.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
丙类传染病合计,2994.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
流行性感冒,608.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
流行性腮腺炎,181.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
风疹,14.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
急性出血性结膜炎,0.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
麻风病,0.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
斑疹伤寒,0.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
黑热病,0.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
包虫病,0.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
丝虫病,0.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
其它感染性腹泻病,476.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
手足口病,1715.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
甲乙丙类总计,6181.0,2016-3,2016,3,/yqxx/20180815/0012-59804.html
甲乙类传染病合计,3112.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
鼠疫,0.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
霍乱,0.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
传染性非典型肺炎,0.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
艾滋病,51.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
病毒性肝炎,183.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
其中：（1）甲肝,27.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
（2）乙肝,70.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
（3）丙肝,4.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
（4）丁肝,0.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
（5）戊肝,51.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
（6）肝炎（未分型）,31.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
脊髓灰质炎,0.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
人感染高致病性禽流感,0.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
麻疹,13.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
流行性出血热,0.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
狂犬病,0.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
流行性乙型脑炎,0.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
登革热,4.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
炭疽,0.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
细菌性和阿米巴性痢疾,12.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
肺结核,604.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
伤寒和副伤寒,0.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
流行性脑脊髓膜炎,1.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
百日咳,0.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
白喉,0.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
新生儿破伤风,0.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
猩红热,358.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
布鲁氏菌病,0.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
淋病,574.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
梅毒,1308.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
钩端螺旋体病,0.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
血吸虫病,0.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
疟疾,4.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
人感染H7N9禽流感,0.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
丙类传染病合计,3901.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
流行性感冒,453.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
流行性腮腺炎,210.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
风疹,12.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
急性出血性结膜炎,0.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
麻风病,0.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
斑疹伤寒,0.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
黑热病,0.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
包虫病,0.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
丝虫病,0.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
其它感染性腹泻病,333.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
手足口病,2893.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
甲乙丙类总计,7013.0,2016-4,2016,4,/yqxx/20180815/0012-59889.html
甲乙类传染病合计,3097.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
鼠疫,0.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
霍乱,0.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
传染性非典型肺炎,0.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
艾滋病,48.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
病毒性肝炎,190.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
其中：（1）甲肝,22.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
（2）乙肝,70.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
（3）丙肝,1.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
（4）丁肝,0.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
（5）戊肝,62.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
（6）肝炎（未分型）,35.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
脊髓灰质炎,0.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
人感染高致病性禽流感,0.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
麻疹,9.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
流行性出血热,0.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
狂犬病,0.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
流行性乙型脑炎,0.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
登革热,0.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
炭疽,0.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
细菌性和阿米巴性痢疾,7.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
肺结核,637.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
伤寒和副伤寒,4.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
流行性脑脊髓膜炎,0.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
百日咳,0.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
白喉,0.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
新生儿破伤风,0.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
猩红热,472.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
布鲁氏菌病,2.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
淋病,509.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
梅毒,1218.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
钩端螺旋体病,0.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
血吸虫病,0.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
疟疾,1.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
人感染H7N9禽流感,0.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
丙类传染病合计,6689.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
流行性感冒,138.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
流行性腮腺炎,233.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
风疹,7.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
急性出血性结膜炎,0.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
麻风病,0.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
斑疹伤寒,0.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
黑热病,0.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
包虫病,0.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
丝虫病,0.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
其它感染性腹泻病,392.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
手足口病,5919.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
甲乙丙类总计,9786.0,2016-5,2016,5,/yqxx/20180815/0012-59927.html
甲乙类传染病合计,2979.0,2016-6,2016,6,/yqxx/20180815/0012-59983.html
鼠疫,0.0,2016-6,2016,6,/yqxx/20180815/0012-59983.html
霍乱,1.0,2016-6,2016,6,/yqxx/20180815/0012-59983.html
传染性非典型肺炎,0.0,2016-6,2016,6,/yqxx/20180815/0012-59983.html
艾滋病,32.0,2016-6,2016,6,/yqxx/20180815/0012-59983.html
病毒性肝炎,184.0,2016-6,2016,6,/yqxx/20180815/0012-59983.html
其中：（1）甲肝,12.0,2016-6,2016,6,/yqxx/20180815/0012-59983.html
（2）乙肝,78.0,2016-6,2016,6,/yqxx/20180815/0012-59983.html
（3）丙肝,3.0,2016-6,2016,6,/yqxx/20180815/0012-59983.html
（4）丁肝,0.0,2016-6,2016,6,/yqxx/20180815/0012-59983.html
（5）戊肝,48.0,2016-6,2016,6,/yqxx/20180815/0012-59983.html
（6）肝炎（未分型）,43.0,2016-6,2016,6,/yqxx/20180815/0012-59983.html
