疾病病种,发病数,死亡数,date
淋病,870.0,0.0,2013-2
梅毒,1788.0,0.0,2013-2
钩端螺旋体病,0.0,0.0,2013-2
血吸虫病,1.0,0.0,2013-2
疟疾,17.0,0.0,2013-2
丙类传染病合计,9805.0,0.0,2013-2
流行性感冒,167.0,0.0,2013-2
流行性腮腺炎,809.0,0.0,2013-2
风疹,40.0,0.0,2013-2
急性出血性结膜炎,122.0,0.0,2013-2
麻风病,1.0,0.0,2013-2
斑疹伤寒,0.0,0.0,2013-2
黑热病,0.0,0.0,2013-2
包虫病,0.0,0.0,2013-2
丝虫病,0.0,0.0,2013-2
其它感染性腹泻病,6147.0,0.0,2013-2
手足口病,2519.0,0.0,2013-2
甲乙丙类总计,24087.0,21.0,2013-3
甲乙类传染病合计,10499.0,21.0,2013-3
鼠疫,0.0,0.0,2013-3
霍乱,0.0,0.0,2013-3
传染性非典型肺炎,0.0,0.0,2013-3
艾滋病,139.0,14.0,2013-3
病毒性肝炎,2246.0,0.0,2013-3
甲型肝炎,38.0,0.0,2013-3
乙型肝炎,1443.0,0.0,2013-3
丙型肝炎,256.0,0.0,2013-3
戊型肝炎,325.0,0.0,2013-3
肝炎未分型,184.0,0.0,2013-3
脊髓灰质炎,0.0,0.0,2013-3
人感染高致病性禽流感,0.0,0.0,2013-3
甲型H1N1流感,92.0,0.0,2013-3
麻疹,196.0,0.0,2013-3
流行性出血热,43.0,0.0,2013-3
狂犬病,1.0,1.0,2013-3
流行性乙型脑炎,0.0,0.0,2013-3
登革热,3.0,0.0,2013-3
炭疽,0.0,0.0,2013-3
细菌性和阿米巴性痢疾,156.0,0.0,2013-3
肺结核,3393.0,6.0,2013-3
伤寒与副伤寒,43.0,0.0,2013-3
流行性脑脊髓膜炎,0.0,0.0,2013-3
百日咳,5.0,0.0,2013-3
白喉,0.0,0.0,2013-3
新生儿破伤风,4.0,0.0,2013-3
猩红热,82.0,0.0,2013-3
布鲁氏菌病,11.0,0.0,2013-3
淋病,1089.0,0.0,2013-3
梅毒,2988.0,0.0,2013-3
钩端螺旋体病,0.0,0.0,2013-3
血吸虫病,0.0,0.0,2013-3
疟疾,8.0,0.0,2013-3
丙类传染病合计,13588.0,0.0,2013-3
流行性感冒,156.0,0.0,2013-3
流行性腮腺炎,1108.0,0.0,2013-3
风疹,88.0,0.0,2013-3
急性出血性结膜炎,118.0,0.0,2013-3
麻风病,2.0,0.0,2013-3
斑疹伤寒,1.0,0.0,2013-3
黑热病,0.0,0.0,2013-3
包虫病,0.0,0.0,2013-3
丝虫病,0.0,0.0,2013-3
其它感染性腹泻病,6014.0,0.0,2013-3
手足口病,6101.0,0.0,2013-3
甲乙丙类总计,38852.0,22.0,2013-6
甲乙类传染病合计,10080.0,22.0,2013-6
鼠疫,0.0,0.0,2013-6
霍乱,1.0,0.0,2013-6
传染性非典型肺炎,0.0,0.0,2013-6
艾滋病,130.0,17.0,2013-6
病毒性肝炎,1783.0,0.0,2013-6
甲型肝炎,45.0,0.0,2013-6
乙型肝炎,1273.0,0.0,2013-6
丙型肝炎,218.0,0.0,2013-6
戊型肝炎,93.0,0.0,2013-6
肝炎未分型,154.0,0.0,2013-6
脊髓灰质炎,0.0,0.0,2013-6
人感染高致病性禽流感,0.0,0.0,2013-6
甲型H1N1流感,6.0,0.0,2013-6
麻疹,136.0,0.0,2013-6
流行性出血热,58.0,0.0,2013-6
狂犬病,1.0,1.0,2013-6
流行性乙型脑炎,0.0,0.0,2013-6
登革热,1.0,0.0,2013-6
炭疽,0.0,0.0,2013-6
细菌性和阿米巴性痢疾,284.0,0.0,2013-6
肺结核,3328.0,4.0,2013-6
伤寒与副伤寒,58.0,0.0,2013-6
流行性脑脊髓膜炎,0.0,0.0,2013-6
百日咳,2.0,0.0,2013-6
白喉,0.0,0.0,2013-6
新生儿破伤风,2.0,0.0,2013-6
猩红热,156.0,0.0,2013-6
布鲁氏菌病,8.0,0.0,2013-6
淋病,1283.0,0.0,2013-6
梅毒,2820.0,0.0,2013-6
钩端螺旋体病,0.0,0.0,2013-6
血吸虫病,1.0,0.0,2013-6
疟疾,22.0,0.0,2013-6
丙类传染病合计,28772.0,0.0,2013-6
流行性感冒,67.0,0.0,2013-6
流行性腮腺炎,1493.0,0.0,2013-6
风疹,80.0,0.0,2013-6
急性出血性结膜炎,162.0,0.0,2013-6
麻风病,3.0,0.0,2013-6
斑疹伤寒,0.0,0.0,2013-6
黑热病,0.0,0.0,2013-6
包虫病,0.0,0.0,2013-6
丝虫病,0.0,0.0,2013-6
其它感染性腹泻病,7509.0,0.0,2013-6
手足口病,19458.0,0.0,2013-6
甲乙丙类总计,40303.0,25.0,2013-7
甲乙类传染病合计,11469.0,24.0,2013-7
鼠疫,0.0,0.0,2013-7
霍乱,2.0,0.0,2013-7
传染性非典型肺炎,0.0,0.0,2013-7
艾滋病,146.0,17.0,2013-7
病毒性肝炎,1934.0,0.0,2013-7
甲型肝炎,44.0,0.0,2013-7
乙型肝炎,1367.0,0.0,2013-7
丙型肝炎,273.0,0.0,2013-7
戊型肝炎,89.0,0.0,2013-7
肝炎未分型,161.0,0.0,2013-7
脊髓灰质炎,0.0,0.0,2013-7
人感染高致病性禽流感,0.0,0.0,2013-7
甲型H1N1流感,3.0,0.0,2013-7
麻疹,102.0,0.0,2013-7
流行性出血热,52.0,0.0,2013-7
狂犬病,1.0,1.0,2013-7
流行性乙型脑炎,46.0,2.0,2013-7
登革热,4.0,0.0,2013-7
炭疽,0.0,0.0,2013-7
细菌性和阿米巴性痢疾,483.0,0.0,2013-7
肺结核,3611.0,4.0,2013-7
伤寒与副伤寒,97.0,0.0,2013-7
流行性脑脊髓膜炎,0.0,0.0,2013-7
百日咳,3.0,0.0,2013-7
白喉,0.0,0.0,2013-7
新生儿破伤风,3.0,0.0,2013-7
猩红热,90.0,0.0,2013-7
布鲁氏菌病,15.0,0.0,2013-7
淋病,1474.0,0.0,2013-7
梅毒,3374.0,0.0,2013-7
钩端螺旋体病,1.0,0.0,2013-7
血吸虫病,1.0,0.0,2013-7
疟疾,27.0,0.0,2013-7
丙类传染病合计,28834.0,1.0,2013-7
流行性感冒,89.0,0.0,2013-7
流行性腮腺炎,1729.0,0.0,2013-7
风疹,42.0,0.0,2013-7
急性出血性结膜炎,134.0,0.0,2013-7
麻风病,0.0,0.0,2013-7
斑疹伤寒,0.0,0.0,2013-7
黑热病,0.0,0.0,2013-7
包虫病,0.0,0.0,2013-7
丝虫病,0.0,0.0,2013-7
其它感染性腹泻病,10975.0,0.0,2013-7
手足口病,15865.0,1.0,2013-7
甲乙丙类总计,30307.0,22.0,2013-8
甲乙类传染病合计,10924.0,22.0,2013-8
鼠疫,0.0,0.0,2013-8
霍乱,1.0,0.0,2013-8
传染性非典型肺炎,0.0,0.0,2013-8
艾滋病,104.0,14.0,2013-8
病毒性肝炎,1910.0,0.0,2013-8
甲型肝炎,60.0,0.0,2013-8
乙型肝炎,1373.0,0.0,2013-8
丙型肝炎,232.0,0.0,2013-8
戊型肝炎,94.0,0.0,2013-8
肝炎未分型,151.0,0.0,2013-8
脊髓灰质炎,0.0,0.0,2013-8
人感染高致病性禽流感,0.0,0.0,2013-8
甲型H1N1流感,3.0,0.0,2013-8
麻疹,87.0,0.0,2013-8
流行性出血热,27.0,0.0,2013-8
狂犬病,0.0,0.0,2013-8
流行性乙型脑炎,25.0,1.0,2013-8
登革热,11.0,0.0,2013-8
炭疽,0.0,0.0,2013-8
细菌性和阿米巴性痢疾,463.0,0.0,2013-8
肺结核,3429.0,6.0,2013-8
伤寒与副伤寒,107.0,0.0,2013-8
流行性脑脊髓膜炎,0.0,0.0,2013-8
百日咳,2.0,0.0,2013-8
白喉,0.0,0.0,2013-8
新生儿破伤风,6.0,1.0,2013-8
猩红热,47.0,0.0,2013-8
布鲁氏菌病,9.0,0.0,2013-8
淋病,1441.0,0.0,2013-8
梅毒,3221.0,0.0,2013-8
钩端螺旋体病,5.0,0.0,2013-8
血吸虫病,2.0,0.0,2013-8
疟疾,24.0,0.0,2013-8
丙类传染病合计,19383.0,0.0,2013-8
流行性感冒,81.0,0.0,2013-8
流行性腮腺炎,1078.0,0.0,2013-8
风疹,26.0,0.0,2013-8
急性出血性结膜炎,131.0,0.0,2013-8
麻风病,2.0,0.0,2013-8
斑疹伤寒,0.0,0.0,2013-8
黑热病,0.0,0.0,2013-8
包虫病,0.0,0.0,2013-8
丝虫病,0.0,0.0,2013-8
其它感染性腹泻病,12239.0,0.0,2013-8
手足口病,5826.0,0.0,2013-8
甲乙丙类总计,29173.0,24.0,2013-9
甲乙类传染病合计,10352.0,24.0,2013-9
鼠疫,0.0,0.0,2013-9
霍乱,1.0,0.0,2013-9
传染性非典型肺炎,0.0,0.0,2013-9
艾滋病,96.0,15.0,2013-9
病毒性肝炎,1951.0,0.0,2013-9
甲型肝炎,40.0,0.0,2013-9
乙型肝炎,1439.0,0.0,2013-9
丙型肝炎,201.0,0.0,2013-9
戊型肝炎,116.0,0.0,2013-9
肝炎未分型,155.0,0.0,2013-9
脊髓灰质炎,0.0,0.0,2013-9
人感染高致病性禽流感,0.0,0.0,2013-9
甲型H1N1流感,2.0,0.0,2013-9
麻疹,51.0,0.0,2013-9
流行性出血热,23.0,0.0,2013-9
狂犬病,2.0,2.0,2013-9
流行性乙型脑炎,0.0,0.0,2013-9
登革热,4.0,0.0,2013-9
炭疽,0.0,0.0,2013-9
细菌性和阿米巴性痢疾,378.0,0.0,2013-9
肺结核,3293.0,7.0,2013-9
伤寒与副伤寒,67.0,0.0,2013-9
流行性脑脊髓膜炎,1.0,0.0,2013-9
百日咳,3.0,0.0,2013-9
白喉,0.0,0.0,2013-9
新生儿破伤风,2.0,0.0,2013-9
猩红热,43.0,0.0,2013-9
布鲁氏菌病,5.0,0.0,2013-9
淋病,1386.0,0.0,2013-9
梅毒,3028.0,0.0,2013-9
钩端螺旋体病,0.0,0.0,2013-9
血吸虫病,3.0,0.0,2013-9
疟疾,13.0,0.0,2013-9
丙类传染病合计,18821.0,0.0,2013-9
流行性感冒,104.0,0.0,2013-9
流行性腮腺炎,1027.0,0.0,2013-9
风疹,22.0,0.0,2013-9
急性出血性结膜炎,93.0,0.0,2013-9
麻风病,3.0,0.0,2013-9
斑疹伤寒,0.0,0.0,2013-9
黑热病,0.0,0.0,2013-9
包虫病,0.0,0.0,2013-9
丝虫病,0.0,0.0,2013-9
其它感染性腹泻病,10028.0,0.0,2013-9
手足口病,7544.0,0.0,2013-9
甲乙丙类总计,23665.0,37.0,2014-1
甲乙类传染病合计,8457.0,36.0,2014-1
鼠疫,0.0,0.0,2014-1
霍乱,0.0,0.0,2014-1
传染性非典型肺炎,0.0,0.0,2014-1
艾滋病,91.0,11.0,2014-1
病毒性肝炎,1718.0,0.0,2014-1
甲型肝炎,40.0,0.0,2014-1
乙型肝炎,1150.0,0.0,2014-1
丙型肝炎,202.0,0.0,2014-1
戊型肝炎,177.0,0.0,2014-1
肝炎未分型,149.0,0.0,2014-1
脊髓灰质炎,0.0,0.0,2014-1
人感染高致病性禽流感,0.0,0.0,2014-1
麻疹,33.0,0.0,2014-1
流行性出血热,30.0,0.0,2014-1
狂犬病,2.0,2.0,2014-1
流行性乙型脑炎,0.0,0.0,2014-1
登革热,0.0,0.0,2014-1
炭疽,0.0,0.0,2014-1
细菌性和阿米巴性痢疾,111.0,0.0,2014-1
肺结核,2681.0,5.0,2014-1
伤寒与副伤寒,24.0,0.0,2014-1
流行性脑脊髓膜炎,0.0,0.0,2014-1
百日咳,5.0,0.0,2014-1
白喉,0.0,0.0,2014-1
新生儿破伤风,4.0,1.0,2014-1
猩红热,122.0,0.0,2014-1
布鲁氏菌病,4.0,0.0,2014-1
淋病,1095.0,0.0,2014-1
梅毒,2451.0,0.0,2014-1
钩端螺旋体病,0.0,0.0,2014-1
血吸虫病,0.0,0.0,2014-1
疟疾,25.0,0.0,2014-1
人感染H7N9禽流感,61.0,17.0,2014-1
丙类传染病合计,15208.0,1.0,2014-1
流行性感冒,3571.0,1.0,2014-1
流行性腮腺炎,488.0,0.0,2014-1
风疹,33.0,0.0,2014-1
急性出血性结膜炎,106.0,0.0,2014-1
麻风病,1.0,0.0,2014-1
斑疹伤寒,0.0,0.0,2014-1
黑热病,1.0,0.0,2014-1
包虫病,0.0,0.0,2014-1
丝虫病,0.0,0.0,2014-1
其它感染性腹泻病,7659.0,0.0,2014-1
手足口病,3349.0,0.0,2014-1
甲乙丙类总计,41922.0,20.0,2014-10
甲乙类传染病合计,10041.0,19.0,2014-10
鼠疫,0.0,0.0,2014-10
霍乱,0.0,0.0,2014-10
传染性非典型肺炎,0.0,0.0,2014-10
艾滋病,132.0,12.0,2014-10
病毒性肝炎,1842.0,1.0,2014-10
甲型肝炎,57.0,0.0,2014-10
乙型肝炎,1318.0,0.0,2014-10
丙型肝炎,209.0,1.0,2014-10
戊型肝炎,123.0,0.0,2014-10
肝炎未分型,135.0,0.0,2014-10
脊髓灰质炎,0.0,0.0,2014-10
人感染高致病性禽流感,0.0,0.0,2014-10
麻疹,46.0,0.0,2014-10
流行性出血热,24.0,0.0,2014-10
狂犬病,1.0,1.0,2014-10
流行性乙型脑炎,1.0,0.0,2014-10
登革热,15.0,0.0,2014-10
炭疽,0.0,0.0,2014-10
细菌性和阿米巴性痢疾,229.0,0.0,2014-10
肺结核,3003.0,3.0,2014-10
伤寒与副伤寒,49.0,0.0,2014-10
流行性脑脊髓膜炎,0.0,0.0,2014-10
百日咳,7.0,0.0,2014-10
白喉,0.0,0.0,2014-10
新生儿破伤风,3.0,0.0,2014-10
猩红热,87.0,0.0,2014-10
布鲁氏菌病,6.0,0.0,2014-10
淋病,1504.0,0.0,2014-10
梅毒,3069.0,1.0,2014-10
钩端螺旋体病,1.0,0.0,2014-10
血吸虫病,0.0,0.0,2014-10
疟疾,22.0,1.0,2014-10
人感染H7N9禽流感,0.0,0.0,2014-10
丙类传染病合计,31881.0,1.0,2014-10
流行性感冒,181.0,0.0,2014-10
流行性腮腺炎,742.0,0.0,2014-10
风疹,11.0,0.0,2014-10
急性出血性结膜炎,111.0,0.0,2014-10
麻风病,0.0,0.0,2014-10
斑疹伤寒,0.0,0.0,2014-10
黑热病,0.0,0.0,2014-10
包虫病,0.0,0.0,2014-10
丝虫病,0.0,0.0,2014-10
其它感染性腹泻病,7410.0,0.0,2014-10
手足口病,23426.0,1.0,2014-10
甲乙丙类总计,34027.0,24.0,2014-11
甲乙类传染病合计,9413.0,24.0,2014-11
鼠疫,0.0,0.0,2014-11
霍乱,0.0,0.0,2014-11
传染性非典型肺炎,0.0,0.0,2014-11
艾滋病,126.0,11.0,2014-11
病毒性肝炎,1795.0,0.0,2014-11
甲型肝炎,46.0,0.0,2014-11
乙型肝炎,1301.0,0.0,2014-11
丙型肝炎,206.0,0.0,2014-11
戊型肝炎,134.0,0.0,2014-11
肝炎未分型,108.0,0.0,2014-11
脊髓灰质炎,0.0,0.0,2014-11
人感染高致病性禽流感,0.0,0.0,2014-11
麻疹,20.0,0.0,2014-11
流行性出血热,46.0,0.0,2014-11
狂犬病,1.0,1.0,2014-11
流行性乙型脑炎,0.0,0.0,2014-11
登革热,1.0,0.0,2014-11
炭疽,0.0,0.0,2014-11
细菌性和阿米巴性痢疾,131.0,0.0,2014-11
肺结核,2798.0,12.0,2014-11
伤寒与副伤寒,29.0,0.0,2014-11
流行性脑脊髓膜炎,1.0,0.0,2014-11
百日咳,2.0,0.0,2014-11
白喉,0.0,0.0,2014-11
新生儿破伤风,2.0,0.0,2014-11
猩红热,210.0,0.0,2014-11
布鲁氏菌病,6.0,0.0,2014-11
淋病,1455.0,0.0,2014-11
梅毒,2762.0,0.0,2014-11
钩端螺旋体病,2.0,0.0,2014-11
血吸虫病,4.0,0.0,2014-11
疟疾,20.0,0.0,2014-11
人感染H7N9禽流感,2.0,0.0,2014-11
丙类传染病合计,24614.0,0.0,2014-11
流行性感冒,167.0,0.0,2014-11
流行性腮腺炎,583.0,0.0,2014-11
风疹,21.0,0.0,2014-11
急性出血性结膜炎,74.0,0.0,2014-11
麻风病,1.0,0.0,2014-11
斑疹伤寒,0.0,0.0,2014-11
黑热病,0.0,0.0,2014-11
包虫病,0.0,0.0,2014-11
丝虫病,0.0,0.0,2014-11
其它感染性腹泻病,11245.0,0.0,2014-11
手足口病,12523.0,0.0,2014-11
甲乙丙类总计,41223.0,24.0,2014-12
甲乙类传染病合计,9404.0,24.0,2014-12
鼠疫,0.0,0.0,2014-12
霍乱,0.0,0.0,2014-12
传染性非典型肺炎,0.0,0.0,2014-12
艾滋病,177.0,14.0,2014-12
病毒性肝炎,1725.0,0.0,2014-12
甲型肝炎,44.0,0.0,2014-12
乙型肝炎,1189.0,0.0,2014-12
丙型肝炎,255.0,0.0,2014-12
戊型肝炎,133.0,0.0,2014-12
肝炎未分型,104.0,0.0,2014-12
脊髓灰质炎,0.0,0.0,2014-12
人感染高致病性禽流感,0.0,0.0,2014-12
麻疹,22.0,0.0,2014-12
流行性出血热,46.0,0.0,2014-12
狂犬病,1.0,1.0,2014-12
流行性乙型脑炎,0.0,0.0,2014-12
登革热,3.0,0.0,2014-12
炭疽,0.0,0.0,2014-12
细菌性和阿米巴性痢疾,138.0,0.0,2014-12
肺结核,2791.0,7.0,2014-12
伤寒与副伤寒,23.0,0.0,2014-12
流行性脑脊髓膜炎,0.0,0.0,2014-12
百日咳,6.0,0.0,2014-12
白喉,0.0,0.0,2014-12
新生儿破伤风,2.0,0.0,2014-12
猩红热,319.0,0.0,2014-12
布鲁氏菌病,5.0,0.0,2014-12
淋病,1477.0,1.0,2014-12
梅毒,2648.0,0.0,2014-12
钩端螺旋体病,0.0,0.0,2014-12
血吸虫病,0.0,0.0,2014-12
疟疾,17.0,0.0,2014-12
人感染H7N9禽流感,4.0,1.0,2014-12
丙类传染病合计,31819.0,0.0,2014-12
流行性感冒,344.0,0.0,2014-12
流行性腮腺炎,464.0,0.0,2014-12
风疹,21.0,0.0,2014-12
急性出血性结膜炎,72.0,0.0,2014-12
麻风病,1.0,0.0,2014-12
斑疹伤寒,0.0,0.0,2014-12
黑热病,0.0,0.0,2014-12
包虫病,1.0,0.0,2014-12
丝虫病,0.0,0.0,2014-12
其它感染性腹泻病,22351.0,0.0,2014-12
手足口病,8565.0,0.0,2014-12
甲乙丙类总计,17170.0,36.0,2014-2
甲乙类传染病合计,7653.0,36.0,2014-2
鼠疫,0.0,0.0,2014-2
霍乱,0.0,0.0,2014-2
