"","date","value","disease_1","disease","source"
"65",2008-01-01,1600,"手足口病","HFMD","Monthly Notifiable Infectious Diseases Reports"
"66",2008-01-01,107,"斑疹伤寒","Typhus","Monthly Notifiable Infectious Diseases Reports"
"67",2008-01-01,160,"新生儿破伤风",NA,"Monthly Notifiable Infectious Diseases Reports"
"69",2008-01-01,19513,"梅毒","Syphilis","Monthly Notifiable Infectious Diseases Reports"
"70",2008-01-01,112,"流行性脑脊髓膜炎",NA,"Monthly Notifiable Infectious Diseases Reports"
"71",2008-01-01,4366,"流行性感冒",NA,"Monthly Notifiable Infectious Diseases Reports"
"72",2008-01-01,26544,"流行性腮腺炎","Mumps","Monthly Notifiable Infectious Diseases Reports"
"74",2008-01-01,11808,"淋病","Gonorrhea","Monthly Notifiable Infectious Diseases Reports"
"75",2008-01-01,9,"炭疽",NA,"Monthly Notifiable Infectious Diseases Reports"
"76",2008-01-01,196,"狂犬病",NA,"Monthly Notifiable Infectious Diseases Reports"
"77",2008-01-01,2364,"猩红热","Scarlet fever","Monthly Notifiable Infectious Diseases Reports"
"78",2008-01-01,4578,"甲肝","HAV","Monthly Notifiable Infectious Diseases Reports"
"79",2008-01-01,446,"疟疾","Malaria","Monthly Notifiable Infectious Diseases Reports"
"81",2008-01-01,10834,"痢疾","Dysentery","Monthly Notifiable Infectious Diseases Reports"
"82",2008-01-01,2,"登革热","Dengue fever","Monthly Notifiable Infectious Diseases Reports"
"83",2008-01-01,144,"百日咳","Pertussis","Monthly Notifiable Infectious Diseases Reports"
"86",2008-01-01,124537,"病毒性肝炎",NA,"Monthly Notifiable Infectious Diseases Reports"
"87",2008-01-01,4550,"未分型肝炎",NA,"Monthly Notifiable Infectious Diseases Reports"
"88",2008-01-01,124625,"肺结核","Tuberculosis","Monthly Notifiable Infectious Diseases Reports"
"90",2008-01-01,934,"艾滋病","AIDS","Monthly Notifiable Infectious Diseases Reports"
"92",2008-01-01,149,"血吸虫病",NA,"Monthly Notifiable Infectious Diseases Reports"
"93",2008-01-01,6,"钩端螺旋体病",NA,"Monthly Notifiable Infectious Diseases Reports"
"97",2008-01-01,3571,"风疹","Rubella","Monthly Notifiable Infectious Diseases Reports"
"98",2021-03-01,77,"麻疹",NA,"Monthly Notifiable Infectious Diseases Reports"
"99",2008-01-01,71,"麻风病",NA,"Monthly Notifiable Infectious Diseases Reports"
"100",2008-01-01,24,"黑热病",NA,"Monthly Notifiable Infectious Diseases Reports"
"101",2008-01-01,0,"乙型脑炎","Japanese encephalitis","Monthly Notifiable Infectious Diseases Reports"
"105",2008-02-01,7278,"丙肝","HCV","Monthly Notifiable Infectious Diseases Reports"
"106",2008-02-01,0,"乙型脑炎","Japanese encephalitis","Monthly Notifiable Infectious Diseases Reports"
"107",2008-02-01,570,"伤寒+副伤寒","Typhoid and paratyphoid fever","Monthly Notifiable Infectious Diseases Reports"
"108",2021-02-01,144447,"其它感染性腹泻病","Other infectious diarrhea","Monthly Notifiable Infectious Diseases Reports"
"109",2008-02-01,467,"流行性出血热","HFRS","Monthly Notifiable Infectious Diseases Reports"
"110",2008-02-01,1993,"布病","Brucellosis","Monthly Notifiable Infectious Diseases Reports"
"111",2008-02-01,492,"急性出血性结膜炎","AHC","Monthly Notifiable Infectious Diseases Reports"
"112",2008-02-01,1871,"戊肝","HEV","Monthly Notifiable Infectious Diseases Reports"
"113",2008-02-01,376,"手足口病","HFMD","Monthly Notifiable Infectious Diseases Reports"
"114",2008-02-01,100,"斑疹伤寒","Typhus","Monthly Notifiable Infectious Diseases Reports"
"115",2008-02-01,125,"新生儿破伤风",NA,"Monthly Notifiable Infectious Diseases Reports"
"116",2008-02-01,15138,"梅毒","Syphilis","Monthly Notifiable Infectious Diseases Reports"
"117",2008-02-01,2635,"流行性感冒",NA,"Monthly Notifiable Infectious Diseases Reports"
"118",2008-02-01,13103,"流行性腮腺炎","Mumps","Monthly Notifiable Infectious Diseases Reports"
"119",2008-02-01,8550,"淋病","Gonorrhea","Monthly Notifiable Infectious Diseases Reports"
"120",2008-02-01,11,"炭疽",NA,"Monthly Notifiable Infectious Diseases Reports"
"121",2008-02-01,135,"狂犬病",NA,"Monthly Notifiable Infectious Diseases Reports"
"122",2008-02-01,961,"猩红热","Scarlet fever","Monthly Notifiable Infectious Diseases Reports"
"123",2008-02-01,368,"疟疾","Malaria","Monthly Notifiable Infectious Diseases Reports"
"124",2008-02-01,2,"登革热","Dengue fever","Monthly Notifiable Infectious Diseases Reports"
"125",2008-02-01,103568,"病毒性肝炎",NA,"Monthly Notifiable Infectious Diseases Reports"
"126",2008-02-01,4190,"未分型肝炎",NA,"Monthly Notifiable Infectious Diseases Reports"
"127",2008-02-01,110646,"肺结核","Tuberculosis","Monthly Notifiable Infectious Diseases Reports"
"129",2008-02-01,6,"钩端螺旋体病",NA,"Monthly Notifiable Infectious Diseases Reports"
"131",2008-02-01,2736,"风疹","Rubella","Monthly Notifiable Infectious Diseases Reports"
"132",2021-02-01,38,"麻疹",NA,"Monthly Notifiable Infectious Diseases Reports"
"133",2008-02-01,41,"麻风病",NA,"Monthly Notifiable Infectious Diseases Reports"
"134",2008-02-01,28,"黑热病",NA,"Monthly Notifiable Infectious Diseases Reports"
"135",2008-02-01,754,"艾滋病","AIDS","Monthly Notifiable Infectious Diseases Reports"
"136",2008-02-01,86401,"乙肝","HBV","Monthly Notifiable Infectious Diseases Reports"
"140",2008-02-01,162,"包虫病","Hydatidosis","Monthly Notifiable Infectious Diseases Reports"
"143",2008-02-01,173,"流行性脑脊髓膜炎",NA,"Monthly Notifiable Infectious Diseases Reports"
"146",2008-02-01,3828,"甲肝","HAV","Monthly Notifiable Infectious Diseases Reports"
"148",2008-02-01,9617,"痢疾","Dysentery","Monthly Notifiable Infectious Diseases Reports"
"149",2008-02-01,176,"百日咳","Pertussis","Monthly Notifiable Infectious Diseases Reports"
"153",2008-02-01,103,"血吸虫病",NA,"Monthly Notifiable Infectious Diseases Reports"
"156",2008-03-01,1,"乙型脑炎","Japanese encephalitis","Monthly Notifiable Infectious Diseases Reports"
"160",2008-03-01,10201,"丙肝","HCV","Monthly Notifiable Infectious Diseases Reports"
"161",2008-03-01,909,"伤寒+副伤寒","Typhoid and paratyphoid fever","Monthly Notifiable Infectious Diseases Reports"
"162",2021-01-01,177114,"其它感染性腹泻病","Other infectious diarrhea","Monthly Notifiable Infectious Diseases Reports"
"163",2008-03-01,539,"流行性出血热","HFRS","Monthly Notifiable Infectious Diseases Reports"
"164",2008-03-01,2892,"布病","Brucellosis","Monthly Notifiable Infectious Diseases Reports"
"165",2008-03-01,1044,"急性出血性结膜炎","AHC","Monthly Notifiable Infectious Diseases Reports"
"166",2008-03-01,2726,"戊肝","HEV","Monthly Notifiable Infectious Diseases Reports"
"167",2008-03-01,1430,"手足口病","HFMD","Monthly Notifiable Infectious Diseases Reports"
"168",2008-03-01,158,"斑疹伤寒","Typhus","Monthly Notifiable Infectious Diseases Reports"
"169",2008-03-01,138,"新生儿破伤风",NA,"Monthly Notifiable Infectious Diseases Reports"
"170",2008-03-01,22119,"梅毒","Syphilis","Monthly Notifiable Infectious Diseases Reports"
"171",2008-03-01,7854,"流行性感冒",NA,"Monthly Notifiable Infectious Diseases Reports"
"172",2008-03-01,20557,"流行性腮腺炎","Mumps","Monthly Notifiable Infectious Diseases Reports"
"173",2008-03-01,11207,"淋病","Gonorrhea","Monthly Notifiable Infectious Diseases Reports"
"174",2008-03-01,16,"炭疽",NA,"Monthly Notifiable Infectious Diseases Reports"
"175",2008-03-01,151,"狂犬病",NA,"Monthly Notifiable Infectious Diseases Reports"
"176",2008-03-01,2310,"猩红热","Scarlet fever","Monthly Notifiable Infectious Diseases Reports"
"177",2008-03-01,697,"疟疾","Malaria","Monthly Notifiable Infectious Diseases Reports"
"178",2008-03-01,1,"登革热","Dengue fever","Monthly Notifiable Infectious Diseases Reports"
"179",2008-03-01,135739,"病毒性肝炎",NA,"Monthly Notifiable Infectious Diseases Reports"
"180",2008-03-01,5477,"未分型肝炎",NA,"Monthly Notifiable Infectious Diseases Reports"
"181",2008-03-01,121262,"肺结核","Tuberculosis","Monthly Notifiable Infectious Diseases Reports"
"183",2008-03-01,4,"钩端螺旋体病",NA,"Monthly Notifiable Infectious Diseases Reports"
"185",2008-03-01,15988,"风疹","Rubella","Monthly Notifiable Infectious Diseases Reports"
"186",2021-01-01,59,"麻疹",NA,"Monthly Notifiable Infectious Diseases Reports"
"187",2008-03-01,60,"麻风病",NA,"Monthly Notifiable Infectious Diseases Reports"
"188",2008-03-01,34,"黑热病",NA,"Monthly Notifiable Infectious Diseases Reports"
"189",2008-03-01,1115,"艾滋病","AIDS","Monthly Notifiable Infectious Diseases Reports"
"190",2008-03-01,111830,"乙肝","HBV","Monthly Notifiable Infectious Diseases Reports"
"194",2008-03-01,233,"包虫病","Hydatidosis","Monthly Notifiable Infectious Diseases Reports"
"197",2008-03-01,234,"流行性脑脊髓膜炎",NA,"Monthly Notifiable Infectious Diseases Reports"
"199",2008-03-01,5505,"甲肝","HAV","Monthly Notifiable Infectious Diseases Reports"
"201",2008-03-01,13681,"痢疾","Dysentery","Monthly Notifiable Infectious Diseases Reports"
"202",2008-03-01,254,"百日咳","Pertussis","Monthly Notifiable Infectious Diseases Reports"
"206",2008-03-01,207,"血吸虫病",NA,"Monthly Notifiable Infectious Diseases Reports"
"209",2008-04-01,2,"乙型脑炎","Japanese encephalitis","Monthly Notifiable Infectious Diseases Reports"
"213",2008-04-01,9411,"丙肝","HCV","Monthly Notifiable Infectious Diseases Reports"
"214",2008-04-01,1118,"伤寒+副伤寒","Typhoid and paratyphoid fever","Monthly Notifiable Infectious Diseases Reports"
"215",2020-12-01,108084,"其它感染性腹泻病","Other infectious diarrhea","Monthly Notifiable Infectious Diseases Reports"
"216",2008-04-01,583,"流行性出血热","HFRS","Monthly Notifiable Infectious Diseases Reports"
"217",2008-04-01,3413,"布病","Brucellosis","Monthly Notifiable Infectious Diseases Reports"
"218",2008-04-01,1230,"急性出血性结膜炎","AHC","Monthly Notifiable Infectious Diseases Reports"
"219",2008-04-01,2112,"戊肝","HEV","Monthly Notifiable Infectious Diseases Reports"
"220",2008-04-01,13037,"手足口病","HFMD","Monthly Notifiable Infectious Diseases Reports"
"221",2008-04-01,173,"斑疹伤寒","Typhus","Monthly Notifiable Infectious Diseases Reports"
"222",2008-04-01,129,"新生儿破伤风",NA,"Monthly Notifiable Infectious Diseases Reports"
"223",2008-04-01,22189,"梅毒","Syphilis","Monthly Notifiable Infectious Diseases Reports"
"224",2008-04-01,3822,"流行性感冒",NA,"Monthly Notifiable Infectious Diseases Reports"
"225",2008-04-01,31548,"流行性腮腺炎","Mumps","Monthly Notifiable Infectious Diseases Reports"
"226",2008-04-01,11194,"淋病","Gonorrhea","Monthly Notifiable Infectious Diseases Reports"
"227",2008-04-01,18,"炭疽",NA,"Monthly Notifiable Infectious Diseases Reports"
"228",2008-04-01,174,"狂犬病",NA,"Monthly Notifiable Infectious Diseases Reports"
"229",2008-04-01,3031,"猩红热","Scarlet fever","Monthly Notifiable Infectious Diseases Reports"
"230",2008-04-01,1154,"疟疾","Malaria","Monthly Notifiable Infectious Diseases Reports"
"231",2008-04-01,12,"登革热","Dengue fever","Monthly Notifiable Infectious Diseases Reports"
"232",2008-04-01,128143,"病毒性肝炎",NA,"Monthly Notifiable Infectious Diseases Reports"
"233",2008-04-01,5131,"未分型肝炎",NA,"Monthly Notifiable Infectious Diseases Reports"
"234",2008-04-01,115262,"肺结核","Tuberculosis","Monthly Notifiable Infectious Diseases Reports"
"236",2008-04-01,16,"钩端螺旋体病",NA,"Monthly Notifiable Infectious Diseases Reports"
"238",2008-04-01,27612,"风疹","Rubella","Monthly Notifiable Infectious Diseases Reports"
"239",2020-12-01,96,"麻疹",NA,"Monthly Notifiable Infectious Diseases Reports"
"240",2008-04-01,46,"麻风病",NA,"Monthly Notifiable Infectious Diseases Reports"
"241",2008-04-01,31,"黑热病",NA,"Monthly Notifiable Infectious Diseases Reports"
"242",2008-04-01,1092,"艾滋病","AIDS","Monthly Notifiable Infectious Diseases Reports"
"243",2008-04-01,106040,"乙肝","HBV","Monthly Notifiable Infectious Diseases Reports"
"247",2008-04-01,321,"包虫病","Hydatidosis","Monthly Notifiable Infectious Diseases Reports"
"250",2008-04-01,125,"流行性脑脊髓膜炎",NA,"Monthly Notifiable Infectious Diseases Reports"
"253",2008-04-01,5449,"甲肝","HAV","Monthly Notifiable Infectious Diseases Reports"
"255",2008-04-01,18395,"痢疾","Dysentery","Monthly Notifiable Infectious Diseases Reports"
"256",2008-04-01,267,"百日咳","Pertussis","Monthly Notifiable Infectious Diseases Reports"
"260",2008-04-01,240,"血吸虫病",NA,"Monthly Notifiable Infectious Diseases Reports"
"263",2008-05-01,2,"霍乱",NA,"Monthly Notifiable Infectious Diseases Reports"
"264",2008-05-01,34,"乙型脑炎","Japanese encephalitis","Monthly Notifiable Infectious Diseases Reports"
"268",2008-05-01,9797,"丙肝","HCV","Monthly Notifiable Infectious Diseases Reports"
"269",2008-05-01,1518,"伤寒+副伤寒","Typhoid and paratyphoid fever","Monthly Notifiable Infectious Diseases Reports"
"270",2020-11-01,83209,"其它感染性腹泻病","Other infectious diarrhea","Monthly Notifiable Infectious Diseases Reports"
"271",2008-05-01,768,"流行性出血热","HFRS","Monthly Notifiable Infectious Diseases Reports"
"272",2008-05-01,4106,"布病","Brucellosis","Monthly Notifiable Infectious Diseases Reports"
"273",2008-05-01,1578,"急性出血性结膜炎","AHC","Monthly Notifiable Infectious Diseases Reports"
"274",2008-05-01,1786,"戊肝","HEV","Monthly Notifiable Infectious Diseases Reports"
"275",2008-05-01,176008,"手足口病","HFMD","Monthly Notifiable Infectious Diseases Reports"
"276",2008-05-01,262,"斑疹伤寒","Typhus","Monthly Notifiable Infectious Diseases Reports"
"277",2008-05-01,142,"新生儿破伤风",NA,"Monthly Notifiable Infectious Diseases Reports"
"278",2008-05-01,23947,"梅毒","Syphilis","Monthly Notifiable Infectious Diseases Reports"
"279",2008-05-01,2985,"流行性感冒",NA,"Monthly Notifiable Infectious Diseases Reports"
"280",2008-05-01,49564,"流行性腮腺炎","Mumps","Monthly Notifiable Infectious Diseases Reports"
"281",2008-05-01,12003,"淋病","Gonorrhea","Monthly Notifiable Infectious Diseases Reports"
"282",2008-05-01,39,"炭疽",NA,"Monthly Notifiable Infectious Diseases Reports"
"283",2008-05-01,200,"狂犬病",NA,"Monthly Notifiable Infectious Diseases Reports"
"284",2008-05-01,4954,"猩红热","Scarlet fever","Monthly Notifiable Infectious Diseases Reports"
"285",2008-05-01,2226,"疟疾","Malaria","Monthly Notifiable Infectious Diseases Reports"
"286",2008-05-01,2,"登革热","Dengue fever","Monthly Notifiable Infectious Diseases Reports"
"287",2008-05-01,126572,"病毒性肝炎",NA,"Monthly Notifiable Infectious Diseases Reports"
"288",2008-05-01,4816,"未分型肝炎",NA,"Monthly Notifiable Infectious Diseases Reports"
"289",2008-05-01,110833,"肺结核","Tuberculosis","Monthly Notifiable Infectious Diseases Reports"
"291",2008-05-01,36,"钩端螺旋体病",NA,"Monthly Notifiable Infectious Diseases Reports"
"293",2008-05-01,38633,"风疹","Rubella","Monthly Notifiable Infectious Diseases Reports"
"294",2020-11-01,118,"麻疹",NA,"Monthly Notifiable Infectious Diseases Reports"
"295",2008-05-01,28,"麻风病",NA,"Monthly Notifiable Infectious Diseases Reports"
"296",2008-05-01,31,"黑热病",NA,"Monthly Notifiable Infectious Diseases Reports"
"297",2008-05-01,994,"艾滋病","AIDS","Monthly Notifiable Infectious Diseases Reports"
"298",2008-05-01,0,"丝虫病",NA,"Monthly Notifiable Infectious Diseases Reports"
"299",2008-05-01,104349,"乙肝","HBV","Monthly Notifiable Infectious Diseases Reports"
"303",2008-05-01,278,"包虫病","Hydatidosis","Monthly Notifiable Infectious Diseases Reports"
"306",2008-05-01,61,"流行性脑脊髓膜炎",NA,"Monthly Notifiable Infectious Diseases Reports"
"308",2008-05-01,5824,"甲肝","HAV","Monthly Notifiable Infectious Diseases Reports"
"310",2008-05-01,33287,"痢疾","Dysentery","Monthly Notifiable Infectious Diseases Reports"
"311",2008-05-01,323,"百日咳","Pertussis","Monthly Notifiable Infectious Diseases Reports"
"315",2008-05-01,234,"血吸虫病",NA,"Monthly Notifiable Infectious Diseases Reports"
"318",2008-06-01,12,"霍乱",NA,"Monthly Notifiable Infectious Diseases Reports"
"322",2008-06-01,8878,"丙肝","HCV","Monthly Notifiable Infectious Diseases Reports"
"323",2008-06-01,279,"乙型脑炎","Japanese encephalitis","Monthly Notifiable Infectious Diseases Reports"
"324",2008-06-01,1827,"伤寒+副伤寒","Typhoid and paratyphoid fever","Monthly Notifiable Infectious Diseases Reports"
"325",2020-10-01,79196,"其它感染性腹泻病","Other infectious diarrhea","Monthly Notifiable Infectious Diseases Reports"
"326",2008-06-01,925,"流行性出血热","HFRS","Monthly Notifiable Infectious Diseases Reports"
"327",2008-06-01,3879,"布病","Brucellosis","Monthly Notifiable Infectious Diseases Reports"
"328",2008-06-01,1434,"急性出血性结膜炎","AHC","Monthly Notifiable Infectious Diseases Reports"
"329",2008-06-01,1425,"戊肝","HEV","Monthly Notifiable Infectious Diseases Reports"
"330",2008-06-01,101529,"手足口病","HFMD","Monthly Notifiable Infectious Diseases Reports"
"331",2008-06-01,260,"斑疹伤寒","Typhus","Monthly Notifiable Infectious Diseases Reports"
"332",2008-06-01,154,"新生儿破伤风",NA,"Monthly Notifiable Infectious Diseases Reports"
"333",2008-06-01,23083,"梅毒","Syphilis","Monthly Notifiable Infectious Diseases Reports"
"334",2008-06-01,2021,"流行性感冒",NA,"Monthly Notifiable Infectious Diseases Reports"
"335",2008-06-01,42111,"流行性腮腺炎","Mumps","Monthly Notifiable Infectious Diseases Reports"
"336",2008-06-01,11111,"淋病","Gonorrhea","Monthly Notifiable Infectious Diseases Reports"
"337",2008-06-01,48,"炭疽",NA,"Monthly Notifiable Infectious Diseases Reports"
"338",2008-06-01,252,"狂犬病",NA,"Monthly Notifiable Infectious Diseases Reports"
"339",2008-06-01,3584,"猩红热","Scarlet fever","Monthly Notifiable Infectious Diseases Reports"
"340",2008-06-01,2784,"疟疾","Malaria","Monthly Notifiable Infectious Diseases Reports"
"341",2008-06-01,6,"登革热","Dengue fever","Monthly Notifiable Infectious Diseases Reports"
"342",2008-06-01,118700,"病毒性肝炎",NA,"Monthly Notifiable Infectious Diseases Reports"
"343",2008-06-01,4694,"未分型肝炎",NA,"Monthly Notifiable Infectious Diseases Reports"
"344",2008-06-01,101944,"肺结核","Tuberculosis","Monthly Notifiable Infectious Diseases Reports"
"346",2008-06-01,61,"钩端螺旋体病",NA,"Monthly Notifiable Infectious Diseases Reports"
"348",2008-06-01,18393,"风疹","Rubella","Monthly Notifiable Infectious Diseases Reports"
"349",2020-10-01,116,"麻疹",NA,"Monthly Notifiable Infectious Diseases Reports"
"350",2008-06-01,31,"麻风病",NA,"Monthly Notifiable Infectious Diseases Reports"
"351",2008-06-01,25,"黑热病",NA,"Monthly Notifiable Infectious Diseases Reports"
"352",2008-06-01,942,"艾滋病","AIDS","Monthly Notifiable Infectious Diseases Reports"
"353",2008-06-01,98419,"乙肝","HBV","Monthly Notifiable Infectious Diseases Reports"
"357",2008-06-01,193,"包虫病","Hydatidosis","Monthly Notifiable Infectious Diseases Reports"
"360",2008-06-01,36,"流行性脑脊髓膜炎",NA,"Monthly Notifiable Infectious Diseases Reports"
"363",2008-06-01,5284,"甲肝","HAV","Monthly Notifiable Infectious Diseases Reports"
"365",2008-06-01,40068,"痢疾","Dysentery","Monthly Notifiable Infectious Diseases Reports"
"366",2008-06-01,264,"百日咳","Pertussis","Monthly Notifiable Infectious Diseases Reports"
"370",2008-06-01,282,"血吸虫病",NA,"Monthly Notifiable Infectious Diseases Reports"
"376",2008-07-01,9471,"丙肝","HCV","Monthly Notifiable Infectious Diseases Reports"
"377",2008-07-01,984,"乙型脑炎","Japanese encephalitis","Monthly Notifiable Infectious Diseases Reports"
"378",2008-07-01,2008,"伤寒+副伤寒","Typhoid and paratyphoid fever","Monthly Notifiable Infectious Diseases Reports"
"379",2020-09-01,97075,"其它感染性腹泻病","Other infectious diarrhea","Monthly Notifiable Infectious Diseases Reports"
"380",2008-07-01,536,"流行性出血热","HFRS","Monthly Notifiable Infectious Diseases Reports"
"381",2008-07-01,3412,"布病","Brucellosis","Monthly Notifiable Infectious Diseases Reports"
"382",2008-07-01,1463,"急性出血性结膜炎","AHC","Monthly Notifiable Infectious Diseases Reports"
"383",2008-07-01,1305,"戊肝","HEV","Monthly Notifiable Infectious Diseases Reports"
"384",2008-07-01,67622,"手足口病","HFMD","Monthly Notifiable Infectious Diseases Reports"
"385",2008-07-01,299,"斑疹伤寒","Typhus","Monthly Notifiable Infectious Diseases Reports"
"386",2008-07-01,138,"新生儿破伤风",NA,"Monthly Notifiable Infectious Diseases Reports"
"387",2008-07-01,24415,"梅毒","Syphilis","Monthly Notifiable Infectious Diseases Reports"
"388",2008-07-01,2332,"流行性感冒",NA,"Monthly Notifiable Infectious Diseases Reports"
"389",2008-07-01,32509,"流行性腮腺炎","Mumps","Monthly Notifiable Infectious Diseases Reports"
"390",2008-07-01,12051,"淋病","Gonorrhea","Monthly Notifiable Infectious Diseases Reports"
"391",2008-07-01,50,"炭疽",NA,"Monthly Notifiable Infectious Diseases Reports"
"392",2008-07-01,246,"狂犬病",NA,"Monthly Notifiable Infectious Diseases Reports"
"393",2008-07-01,1645,"猩红热","Scarlet fever","Monthly Notifiable Infectious Diseases Reports"
"394",2008-07-01,4059,"疟疾","Malaria","Monthly Notifiable Infectious Diseases Reports"
"395",2008-07-01,7,"登革热","Dengue fever","Monthly Notifiable Infectious Diseases Reports"
"396",2008-07-01,126734,"病毒性肝炎",NA,"Monthly Notifiable Infectious Diseases Reports"
